Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDA15,9.3,Low Fat,1.6,Dairy,249.81,OUT049,1999,Medium,Tier 1,Supermarket Type1,3735.0
DRC01,5.92,Regular,1.9,Soft Drinks,48.27,OUT018,2009,Medium,Tier 3,Supermarket Type2,443.0
FDN15,17.5,Low Fat,1.7,Meat,141.62,OUT049,1999,Medium,Tier 1,Supermarket Type1,2097.0
FDX07,19.2,Regular,0.0,Fruits and Vegetables,182.1,OUT010,1998,,Tier 3,Grocery Store,732.0
NCD19,8.93,Low Fat,0.0,Household,53.86,OUT013,1987,High,Tier 3,Supermarket Type1,995.0
FDP36,10.395,Regular,0.0,Baking Goods,51.4,OUT018,2009,Medium,Tier 3,Supermarket Type2,557.0
FDO10,13.65,Regular,1.3,Snack Foods,57.66,OUT013,1987,High,Tier 3,Supermarket Type1,344.0
FDP10,,Low Fat,12.7,Snack Foods,107.76,OUT027,1985,Medium,Tier 3,Supermarket Type3,4023.0
FDH17,16.2,Regular,1.7,Frozen Foods,96.97,OUT045,2002,,Tier 2,Supermarket Type1,1077.0
FDU28,19.2,Regular,9.4,Frozen Foods,187.82,OUT017,2007,,Tier 2,Supermarket Type1,4711.0
FDY07,11.8,Low Fat,0.0,Fruits and Vegetables,45.54,OUT049,1999,Medium,Tier 1,Supermarket Type1,1516.0
FDA03,18.5,Regular,4.5,Dairy,144.11,OUT046,1997,Small,Tier 1,Supermarket Type1,2187.0
FDX32,15.1,Regular,10.0,Fruits and Vegetables,145.48,OUT049,1999,Medium,Tier 1,Supermarket Type1,1589.0
FDS46,17.6,Regular,4.7,Snack Foods,119.68,OUT046,1997,Small,Tier 1,Supermarket Type1,2145.0
FDF32,16.35,Low Fat,6.8,Fruits and Vegetables,196.44,OUT013,1987,High,Tier 3,Supermarket Type1,1977.0
FDP49,9.0,Regular,6.9,Breakfast,56.36,OUT046,1997,Small,Tier 1,Supermarket Type1,1547.0
NCB42,11.8,Low Fat,0.9,Health and Hygiene,115.35,OUT018,2009,Medium,Tier 3,Supermarket Type2,1622.0
FDP49,9.0,Regular,6.9,Breakfast,54.36,OUT049,1999,Medium,Tier 1,Supermarket Type1,718.0
DRI11,,Low Fat,3.4,Hard Drinks,113.28,OUT027,1985,Medium,Tier 3,Supermarket Type3,2304.0
FDU02,13.35,Low Fat,10.2,Dairy,230.54,OUT035,2004,Small,Tier 2,Supermarket Type1,2748.0
FDN22,18.85,Regular,13.8,Snack Foods,250.87,OUT013,1987,High,Tier 3,Supermarket Type1,3775.0
FDW12,,Regular,3.5,Baking Goods,144.54,OUT027,1985,Medium,Tier 3,Supermarket Type3,4064.0
NCB30,14.6,Low Fat,2.6,Household,196.51,OUT035,2004,Small,Tier 2,Supermarket Type1,1587.0
FDC37,,Low Fat,5.8,Baking Goods,107.69,OUT019,1985,Small,Tier 1,Grocery Store,214.0
FDR28,13.85,Regular,2.6,Frozen Foods,165.02,OUT046,1997,Small,Tier 1,Supermarket Type1,4078.0
NCD06,13.0,Low Fat,10.0,Household,45.91,OUT017,2007,,Tier 2,Supermarket Type1,839.0
FDV10,7.645,Regular,6.7,Snack Foods,42.31,OUT035,2004,Small,Tier 2,Supermarket Type1,1065.0
DRJ59,11.65,low fat,1.9,Hard Drinks,39.12,OUT013,1987,High,Tier 3,Supermarket Type1,309.0
FDE51,5.925,Regular,16.1,Dairy,45.51,OUT010,1998,,Tier 3,Grocery Store,178.0
FDC14,,Regular,7.2,Canned,43.65,OUT019,1985,Small,Tier 1,Grocery Store,126.0
FDV38,19.25,Low Fat,17.0,Dairy,55.8,OUT010,1998,,Tier 3,Grocery Store,164.0
NCS17,18.6,Low Fat,8.1,Health and Hygiene,96.44,OUT018,2009,Medium,Tier 3,Supermarket Type2,2742.0
FDP33,18.7,Low Fat,0.0,Snack Foods,256.67,OUT018,2009,Medium,Tier 3,Supermarket Type2,3068.0
FDO23,17.85,Low Fat,0.0,Breads,93.14,OUT045,2002,,Tier 2,Supermarket Type1,2175.0
DRH01,17.5,Low Fat,9.8,Soft Drinks,174.87,OUT046,1997,Small,Tier 1,Supermarket Type1,2085.0
NCX29,10.0,Low Fat,8.9,Health and Hygiene,146.71,OUT049,1999,Medium,Tier 1,Supermarket Type1,3791.0
FDV20,,Regular,6.0,Fruits and Vegetables,128.07,OUT027,1985,Medium,Tier 3,Supermarket Type3,2798.0
DRZ11,8.85,Regular,11.3,Soft Drinks,122.54,OUT018,2009,Medium,Tier 3,Supermarket Type2,1610.0
FDX10,,Regular,12.3,Snack Foods,36.99,OUT027,1985,Medium,Tier 3,Supermarket Type3,388.0
FDB34,,Low Fat,2.6,Snack Foods,87.62,OUT027,1985,Medium,Tier 3,Supermarket Type3,2180.0
