Item_Weight,Item_Fat_Content,Item_Visibility,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Item_Outlet_Sales,Item_Type_Combined,Outlet_Years,Outlet_Size_High,Outlet_Size_Medium,Outlet_Size_Small,Outlet_Location_Type_Tier 1,Outlet_Location_Type_Tier 2,Outlet_Location_Type_Tier 3,Outlet_Type_Grocery Store,Outlet_Type_Supermarket Type1,Outlet_Type_Supermarket Type2,Outlet_Type_Supermarket Type3
9.3,1,0.016047301,249.8092,9,1999,3735.138,0,14,0,1,0,1,0,0,0,1,0,0
5.92,2,0.019278216,48.2692,3,2009,443.4228,1,4,0,1,0,0,0,1,0,0,1,0
17.5,1,0.016760075,141.618,9,1999,2097.27,0,14,0,1,0,1,0,0,0,1,0,0
19.2,2,0.0,182.095,0,1998,732.38,0,15,0,0,0,0,0,1,1,0,0,0
8.93,0,0.0,53.8614,1,1987,994.7052,2,26,1,0,0,0,0,1,0,1,0,0
10.395,2,0.0,51.4008,3,2009,556.6088,0,4,0,1,0,0,0,1,0,0,1,0
13.65,2,0.012741088999999999,57.6588,1,1987,343.5528,0,26,1,0,0,0,0,1,0,1,0,0
,1,0.127469857,107.7622,5,1985,4022.7636,0,28,0,1,0,0,0,1,0,0,0,1
16.2,2,0.016687114,96.9726,7,2002,1076.5986,0,11,0,0,0,0,1,0,0,1,0,0
19.2,2,0.09444959,187.8214,2,2007,4710.535,0,6,0,0,0,0,1,0,0,1,0,0
11.8,1,0.0,45.5402,9,1999,1516.0266,0,14,0,1,0,1,0,0,0,1,0,0
18.5,2,0.045463773,144.1102,8,1997,2187.153,0,16,0,0,1,1,0,0,0,1,0,0
15.1,2,0.1000135,145.4786,9,1999,1589.2646,0,14,0,1,0,1,0,0,0,1,0,0
17.6,2,0.047257328,119.6782,8,1997,2145.2076,0,16,0,0,1,1,0,0,0,1,0,0
16.35,1,0.06802430000000001,196.4426,1,1987,1977.4260000000002,0,26,1,0,0,0,0,1,0,1,0,0
9.0,2,0.06908896099999999,56.3614,8,1997,1547.3192,0,16,0,0,1,1,0,0,0,1,0,0
11.8,0,0.008596051,115.3492,3,2009,1621.8888,2,4,0,1,0,0,0,1,0,0,1,0
9.0,2,0.06919637599999999,54.3614,9,1999,718.3982,0,14,0,1,0,1,0,0,0,1,0,0
,1,0.034237682,113.2834,5,1985,2303.6679999999997,1,28,0,1,0,0,0,1,0,0,0,1
13.35,1,0.10249212,230.5352,6,2004,2748.4224,0,9,0,0,1,0,1,0,0,1,0,0
18.85,2,0.138190277,250.8724,1,1987,3775.086,0,26,1,0,0,0,0,1,0,1,0,0
,2,0.035399923,144.5444,5,1985,4064.0432,0,28,0,1,0,0,0,1,0,0,0,1
14.6,0,0.025698133999999997,196.5084,6,2004,1587.2672,2,9,0,0,1,0,1,0,0,1,0,0
,1,0.057556998,107.6938,4,1985,214.3876,0,28,0,0,1,1,0,0,1,0,0,0
13.85,2,0.025896485,165.021,8,1997,4078.025,0,16,0,0,1,1,0,0,0,1,0,0
13.0,0,0.099887103,45.906000000000006,2,2007,838.908,2,6,0,0,0,0,1,0,0,1,0,0
7.645,2,0.06669343700000001,42.3112,6,2004,1065.28,0,9,0,0,1,0,1,0,0,1,0,0
11.65,1,0.019356131999999998,39.1164,1,1987,308.9312,1,26,1,0,0,0,0,1,0,1,0,0
5.925,2,0.161466534,45.5086,0,1998,178.4344,0,15,0,0,0,0,0,1,1,0,0,0
