Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.38984897358201914
75% Corpus,2,0.01,0.31,0.448402802652883
75% Corpus,2,0.01,0.61,0.4242414054679683
75% Corpus,2,0.01,0.9099999999999999,0.41749225781376575
75% Corpus,2,0.01,symmetric,0.39435316313895735
75% Corpus,2,0.31,0.01,0.3961724968010222
75% Corpus,2,0.31,0.31,0.4364178718976068
75% Corpus,2,0.31,0.61,0.46056048697847657
75% Corpus,2,0.31,0.9099999999999999,0.4032129883594995
75% Corpus,2,0.31,symmetric,0.405787857051047
75% Corpus,2,0.61,0.01,0.4384627349698709
75% Corpus,2,0.61,0.31,0.43300332153696824
75% Corpus,2,0.61,0.61,0.4397337847695644
75% Corpus,2,0.61,0.9099999999999999,0.43405983086537425
75% Corpus,2,0.61,symmetric,0.3783059549471611
75% Corpus,2,0.9099999999999999,0.01,0.45211229421260074
75% Corpus,2,0.9099999999999999,0.31,0.44213821495296335
75% Corpus,2,0.9099999999999999,0.61,0.4370918207645456
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.42621772545237213
75% Corpus,2,0.9099999999999999,symmetric,0.43442120767781434
75% Corpus,2,symmetric,0.01,0.37968700859032917
75% Corpus,2,symmetric,0.31,0.4523325210891406
75% Corpus,2,symmetric,0.61,0.4313414708651201
75% Corpus,2,symmetric,0.9099999999999999,0.4056714941000384
75% Corpus,2,symmetric,symmetric,0.38093065414689203
75% Corpus,2,asymmetric,0.01,0.3763110773003537
75% Corpus,2,asymmetric,0.31,0.39305152737519017
75% Corpus,2,asymmetric,0.61,0.3775214705159343
75% Corpus,2,asymmetric,0.9099999999999999,0.4394230901450612
75% Corpus,2,asymmetric,symmetric,0.38524696380958934
75% Corpus,3,0.01,0.01,0.38984897358201914
75% Corpus,3,0.01,0.31,0.448402802652883
75% Corpus,3,0.01,0.61,0.4242414054679683
75% Corpus,3,0.01,0.9099999999999999,0.41749225781376575
75% Corpus,3,0.01,symmetric,0.39435316313895735
75% Corpus,3,0.31,0.01,0.3961724968010222
75% Corpus,3,0.31,0.31,0.4364178718976068
75% Corpus,3,0.31,0.61,0.46056048697847657
75% Corpus,3,0.31,0.9099999999999999,0.4032129883594995
75% Corpus,3,0.31,symmetric,0.405787857051047
75% Corpus,3,0.61,0.01,0.4384627349698709
75% Corpus,3,0.61,0.31,0.43300332153696824
75% Corpus,3,0.61,0.61,0.4397337847695644
75% Corpus,3,0.61,0.9099999999999999,0.43405983086537425
75% Corpus,3,0.61,symmetric,0.3783059549471611
75% Corpus,3,0.9099999999999999,0.01,0.45211229421260074
75% Corpus,3,0.9099999999999999,0.31,0.44213821495296335
75% Corpus,3,0.9099999999999999,0.61,0.4370918207645456
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.42621772545237213
75% Corpus,3,0.9099999999999999,symmetric,0.43442120767781434
75% Corpus,3,symmetric,0.01,0.37968700859032917
75% Corpus,3,symmetric,0.31,0.4523325210891406
75% Corpus,3,symmetric,0.61,0.4313414708651201
75% Corpus,3,symmetric,0.9099999999999999,0.4056714941000384
75% Corpus,3,symmetric,symmetric,0.38093065414689203
75% Corpus,3,asymmetric,0.01,0.3763110773003537
75% Corpus,3,asymmetric,0.31,0.39305152737519017
75% Corpus,3,asymmetric,0.61,0.3775214705159343
75% Corpus,3,asymmetric,0.9099999999999999,0.4394230901450612
75% Corpus,3,asymmetric,symmetric,0.38524696380958934
75% Corpus,4,0.01,0.01,0.38984897358201914
75% Corpus,4,0.01,0.31,0.448402802652883
75% Corpus,4,0.01,0.61,0.4242414054679683
75% Corpus,4,0.01,0.9099999999999999,0.41749225781376575
75% Corpus,4,0.01,symmetric,0.39435316313895735
75% Corpus,4,0.31,0.01,0.3961724968010222
75% Corpus,4,0.31,0.31,0.4364178718976068
75% Corpus,4,0.31,0.61,0.46056048697847657
75% Corpus,4,0.31,0.9099999999999999,0.4032129883594995
75% Corpus,4,0.31,symmetric,0.405787857051047
75% Corpus,4,0.61,0.01,0.4384627349698709
75% Corpus,4,0.61,0.31,0.43300332153696824
75% Corpus,4,0.61,0.61,0.4397337847695644
75% Corpus,4,0.61,0.9099999999999999,0.43405983086537425
75% Corpus,4,0.61,symmetric,0.3783059549471611
75% Corpus,4,0.9099999999999999,0.01,0.45211229421260074
75% Corpus,4,0.9099999999999999,0.31,0.44213821495296335
75% Corpus,4,0.9099999999999999,0.61,0.4370918207645456
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.42621772545237213
75% Corpus,4,0.9099999999999999,symmetric,0.43442120767781434
75% Corpus,4,symmetric,0.01,0.37968700859032917
75% Corpus,4,symmetric,0.31,0.4523325210891406
75% Corpus,4,symmetric,0.61,0.4313414708651201
75% Corpus,4,symmetric,0.9099999999999999,0.4056714941000384
75% Corpus,4,symmetric,symmetric,0.38093065414689203
75% Corpus,4,asymmetric,0.01,0.3763110773003537
75% Corpus,4,asymmetric,0.31,0.39305152737519017
75% Corpus,4,asymmetric,0.61,0.3775214705159343
75% Corpus,4,asymmetric,0.9099999999999999,0.4394230901450612
75% Corpus,4,asymmetric,symmetric,0.38524696380958934
75% Corpus,5,0.01,0.01,0.38984897358201914
75% Corpus,5,0.01,0.31,0.448402802652883
75% Corpus,5,0.01,0.61,0.4242414054679683
75% Corpus,5,0.01,0.9099999999999999,0.41749225781376575
75% Corpus,5,0.01,symmetric,0.39435316313895735
75% Corpus,5,0.31,0.01,0.3961724968010222
75% Corpus,5,0.31,0.31,0.4364178718976068
75% Corpus,5,0.31,0.61,0.46056048697847657
75% Corpus,5,0.31,0.9099999999999999,0.4032129883594995
75% Corpus,5,0.31,symmetric,0.405787857051047
75% Corpus,5,0.61,0.01,0.4384627349698709
75% Corpus,5,0.61,0.31,0.43300332153696824
75% Corpus,5,0.61,0.61,0.4397337847695644
75% Corpus,5,0.61,0.9099999999999999,0.43405983086537425
75% Corpus,5,0.61,symmetric,0.3783059549471611
75% Corpus,5,0.9099999999999999,0.01,0.45211229421260074
75% Corpus,5,0.9099999999999999,0.31,0.44213821495296335
75% Corpus,5,0.9099999999999999,0.61,0.4370918207645456
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.42621772545237213
75% Corpus,5,0.9099999999999999,symmetric,0.43442120767781434
75% Corpus,5,symmetric,0.01,0.37968700859032917
75% Corpus,5,symmetric,0.31,0.4523325210891406
75% Corpus,5,symmetric,0.61,0.4313414708651201
75% Corpus,5,symmetric,0.9099999999999999,0.4056714941000384
75% Corpus,5,symmetric,symmetric,0.38093065414689203
75% Corpus,5,asymmetric,0.01,0.3763110773003537
75% Corpus,5,asymmetric,0.31,0.39305152737519017
75% Corpus,5,asymmetric,0.61,0.3775214705159343
75% Corpus,5,asymmetric,0.9099999999999999,0.4394230901450612
75% Corpus,5,asymmetric,symmetric,0.38524696380958934
75% Corpus,6,0.01,0.01,0.38984897358201914
75% Corpus,6,0.01,0.31,0.448402802652883
75% Corpus,6,0.01,0.61,0.4242414054679683
75% Corpus,6,0.01,0.9099999999999999,0.41749225781376575
75% Corpus,6,0.01,symmetric,0.39435316313895735
75% Corpus,6,0.31,0.01,0.3961724968010222
75% Corpus,6,0.31,0.31,0.4364178718976068
75% Corpus,6,0.31,0.61,0.46056048697847657
75% Corpus,6,0.31,0.9099999999999999,0.4032129883594995
75% Corpus,6,0.31,symmetric,0.405787857051047
75% Corpus,6,0.61,0.01,0.4384627349698709
75% Corpus,6,0.61,0.31,0.43300332153696824
75% Corpus,6,0.61,0.61,0.4397337847695644
75% Corpus,6,0.61,0.9099999999999999,0.43405983086537425
75% Corpus,6,0.61,symmetric,0.3783059549471611
75% Corpus,6,0.9099999999999999,0.01,0.45211229421260074
75% Corpus,6,0.9099999999999999,0.31,0.44213821495296335
75% Corpus,6,0.9099999999999999,0.61,0.4370918207645456
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.42621772545237213
75% Corpus,6,0.9099999999999999,symmetric,0.43442120767781434
75% Corpus,6,symmetric,0.01,0.37968700859032917
75% Corpus,6,symmetric,0.31,0.4523325210891406
75% Corpus,6,symmetric,0.61,0.4313414708651201
75% Corpus,6,symmetric,0.9099999999999999,0.4056714941000384
75% Corpus,6,symmetric,symmetric,0.38093065414689203
75% Corpus,6,asymmetric,0.01,0.3763110773003537
75% Corpus,6,asymmetric,0.31,0.39305152737519017
75% Corpus,6,asymmetric,0.61,0.3775214705159343
75% Corpus,6,asymmetric,0.9099999999999999,0.4394230901450612
75% Corpus,6,asymmetric,symmetric,0.38524696380958934
100% Corpus,2,0.01,0.01,0.3574329000640552
100% Corpus,2,0.01,0.31,0.5058641768974511
100% Corpus,2,0.01,0.61,0.49863856529977885
100% Corpus,2,0.01,0.9099999999999999,0.473559408562228
100% Corpus,2,0.01,symmetric,0.4558717023450624
100% Corpus,2,0.31,0.01,0.38405459273804865
100% Corpus,2,0.31,0.31,0.4919418123529994
100% Corpus,2,0.31,0.61,0.45612448971475866
100% Corpus,2,0.31,0.9099999999999999,0.471976154988636
100% Corpus,2,0.31,symmetric,0.5049733035228839
100% Corpus,2,0.61,0.01,0.44863673825374983
100% Corpus,2,0.61,0.31,0.5332098220154823
100% Corpus,2,0.61,0.61,0.504556369351763
100% Corpus,2,0.61,0.9099999999999999,0.5458520864604537
100% Corpus,2,0.61,symmetric,0.5083291053173007
100% Corpus,2,0.9099999999999999,0.01,0.4367692093610688
100% Corpus,2,0.9099999999999999,0.31,0.4596486666013083
100% Corpus,2,0.9099999999999999,0.61,0.4368599686784679
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.44213049444028274
100% Corpus,2,0.9099999999999999,symmetric,0.47856146932507854
100% Corpus,2,symmetric,0.01,0.36947766599423254
100% Corpus,2,symmetric,0.31,0.5176418264644598
100% Corpus,2,symmetric,0.61,0.48850778623487656
100% Corpus,2,symmetric,0.9099999999999999,0.4776478193206334
100% Corpus,2,symmetric,symmetric,0.4437877288124743
100% Corpus,2,asymmetric,0.01,0.3623635234739778
100% Corpus,2,asymmetric,0.31,0.5103190208676652
100% Corpus,2,asymmetric,0.61,0.4968918012987892
100% Corpus,2,asymmetric,0.9099999999999999,0.4921027456129002
100% Corpus,2,asymmetric,symmetric,0.45000945007619386
100% Corpus,3,0.01,0.01,0.3574329000640552
100% Corpus,3,0.01,0.31,0.5058641768974511
100% Corpus,3,0.01,0.61,0.49863856529977885
100% Corpus,3,0.01,0.9099999999999999,0.473559408562228
100% Corpus,3,0.01,symmetric,0.4558717023450624
100% Corpus,3,0.31,0.01,0.38405459273804865
100% Corpus,3,0.31,0.31,0.4919418123529994
100% Corpus,3,0.31,0.61,0.45612448971475866
100% Corpus,3,0.31,0.9099999999999999,0.471976154988636
100% Corpus,3,0.31,symmetric,0.5049733035228839
100% Corpus,3,0.61,0.01,0.44863673825374983
100% Corpus,3,0.61,0.31,0.5332098220154823
100% Corpus,3,0.61,0.61,0.504556369351763
100% Corpus,3,0.61,0.9099999999999999,0.5458520864604537
100% Corpus,3,0.61,symmetric,0.5083291053173007
100% Corpus,3,0.9099999999999999,0.01,0.4367692093610688
100% Corpus,3,0.9099999999999999,0.31,0.4596486666013083
100% Corpus,3,0.9099999999999999,0.61,0.4368599686784679
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.44213049444028274
100% Corpus,3,0.9099999999999999,symmetric,0.47856146932507854
100% Corpus,3,symmetric,0.01,0.36947766599423254
100% Corpus,3,symmetric,0.31,0.5176418264644598
100% Corpus,3,symmetric,0.61,0.48850778623487656
100% Corpus,3,symmetric,0.9099999999999999,0.4776478193206334
100% Corpus,3,symmetric,symmetric,0.4437877288124743
100% Corpus,3,asymmetric,0.01,0.3623635234739778
100% Corpus,3,asymmetric,0.31,0.5103190208676652
100% Corpus,3,asymmetric,0.61,0.4968918012987892
100% Corpus,3,asymmetric,0.9099999999999999,0.4921027456129002
100% Corpus,3,asymmetric,symmetric,0.45000945007619386
100% Corpus,4,0.01,0.01,0.3574329000640552
100% Corpus,4,0.01,0.31,0.5058641768974511
100% Corpus,4,0.01,0.61,0.49863856529977885
100% Corpus,4,0.01,0.9099999999999999,0.473559408562228
100% Corpus,4,0.01,symmetric,0.4558717023450624
100% Corpus,4,0.31,0.01,0.38405459273804865
100% Corpus,4,0.31,0.31,0.4919418123529994
